station_id,name,lat,lon,capacity
466,Ullevålsalléen,59.937913,10.73048,15
469,Studentparlamentet,59.920852,10.733357,30
416,Tannlegehøyskolen,59.932383,10.741475,15
391,Colletts gate 31,59.92683548000409,10.738352113653718,15
389,Pilestredet Studenthus,59.9205528,10.7342854,18
470,St. Hanshaugen park nord,59.92981128213597,10.743587594130702,15
384,Vår Frelsers gravlund,59.91944043984847,10.7437646218726,18
425,Adamstuen,59.932792,10.734457,8
411,Hasle Torg,59.923240042155456,10.792831438028703,12
598,Sofienbergparken nord,59.923229,10.766171,33
444,AHO,59.925265,10.750462,20
447,Kværnerbyen,59.904473,10.786167,30
408,Tøyen skole,59.914943,10.773977,15
737,Munkegata,59.908255,10.7678,24
432,St. Hanshaugen park sør,59.924821,10.739909,12
401,Lille Schous plass,59.920259,10.760629,6
452,Vippetangen vest,59.903989,10.740627,30
392,Sjøsiden,59.910180852633516,10.751698750995615,10
481,Rådhusgata,59.910924,10.736215,42
495,Vaterlandsparken,59.91351552854147,10.757334670552268,41
478,Jernbanetorget,59.91188166348664,10.749962544694341,15
414,Kontraskjæret,59.910242,10.73857,12
476,Edvard Storms gate,59.919111,10.736179,20
445,Sjølyst,59.921673,10.67666,18
748,Hydroparken,59.914145,10.715505,30
473,Majorstuveien,59.926697,10.716195,9
383,Arkitekt Rivertz Plass,59.934936,10.749466,30
480,Helga Helgesens plass,59.9121109,10.7661939,25
421,Alexander Kiellands Plass,59.92806670615684,10.751202636819613,24
746,Bygdøy allé,59.919001,10.692321,12
417,Uranienborgparken,59.922485,10.720896,15
427,Briskeby,59.920218,10.717978,15
395,Frogner Tennisklubb,59.9261831,10.7098327,15
418,Norsk Folkemuseum,59.9076983512052,10.686805381168313,27
413,Majorstuen,59.929045,10.716926,18
486,Blindern Studenthus,59.93522040770026,10.726476622250004,24
597,Fredensborg,59.920995,10.750358,15
422,St. Hanshaugen,59.923703,10.740542,12
382,Stensgata,59.92958561753996,10.732839000000013,9
396,Kirkeristen,59.91300035973293,10.746760585982287,24
735,Oslo Hospital,59.90321254732584,10.7673442932541,15
437,Sentrum Scene,59.91546786564256,10.751140873016311,24
446,Bislett Stadion,59.925471317049954,10.73121932213806,24
424,Birkelunden,59.9256113,10.760926,10
455,Sofienbergparken sør,59.922337,10.7617503,12
457,Trondheimsveien,59.9230577,10.7717192,10
377,Tøyenparken,59.915667,10.7775665,29
738,Lodalen busstopp,59.9034528,10.777958,12
460,Botanisk Hage sør,59.915417698024385,10.76933022142641,29
744,Hallénparken,59.9315302,10.762169,10
485,Sommerfrydhagen,59.911453,10.776072,21
